headline,label,compound
Iowa pension ends $386 million money management contract with Kenneth Fisher,0,0.0
Fidelity drops Fisher's money management firm as withdrawals accelerate,0,0.0
"China unexpectedly keeps LPR lending benchmark unchanged, but outlook for rates down",0,0.0
China more than doubles Sept approval for fixed-asset investment projects,1,0.4767
Top pension consultant NEPC questions sustainability of Fisher Investments,1,0.2023
U.S. companies facing worker shortage race to automate,-1,-0.25
"Top pension consultant NEPC recommends terminating Fisher, pension fund says",1,0.4019
"Vinik to shut down hedge fund, says raising cash 'much harder' than expected",0,0.0
U.S. money market assets increased in latest week: iMoneyNet,1,0.4215
Workers in pain: Employers take a new twist to prevent costly injuries,-1,-0.5574
"After Ken Fisher no-show, LA pension system terminates his firm",0,0.0
U.S. stock funds post near $4 billion outflow: Lipper,0,0.0
"Third Point confirms EssilorLuxottica stake, still talking with Sony: letter",0,0.0
Fisher loses another $584 million from high-profile clients,-1,-0.3182
"Despite robot efficiency, human skills still matter at work",-1,-0.2523
Climate Stalinism: Today’s radical green movement demands submission to an elite governing class—and its views are entering the mainstream,0,0.0
Democratic candidate Andrew Yang: Our system is ‘grinding us up’,0,0.0
Tulsi Gabbard dust-up shows Dems need to dump the Clintons for good,0,0.0772
How an Entire Chinese Submarine Crew Died: They Suffocated to Death,-1,-0.8176
Ex-SS guard from Nazi camp on trial: I saw people led into gas chamber,0,0.0
Family safe after speeding car is knocked out of its path,1,0.4404
China calls for &#39;severe punishment&#39; for those involved in UK truck deaths,0,0.0
12-year-old boy dies unexpectedly in Italy while on family cruise aboard the MSC Divina,0,0.0258
Florida prosecutor who fought marriage equality may be Trump’s impeachment spokesperson,-1,-0.3182
Ilhan Omar Just Came Out Against Sanctions. So Why Does She Back BDS?,0,0.0
"AT&T to add directors, sell up to $10 billion in assets next year",0,0.1779
Ken Fisher says no lay-offs despite withdrawals over his remarks,-1,-0.296
"Angry at criticism, Philippines&#39; Duterte dares vice president to take over law enforcement",-1,-0.7351
Netanyahu says Iran seeking means to attack Israel from Yemen,-1,-0.4767
Iowa woman dies after gender-reveal-party explosion,0,0.0
A Judge Just Blocked Alabama’s Near-Total Ban On Abortion,-1,-0.6908
Rep. Ilhan Omar refused to recognize Armenian genocide in House vote. The reasons she gave are raising eyebrows.,-1,-0.296
NSC official's testimony appears to contradict Rick Perry Ukraine claims,-1,-0.3182
Nunes acolyte misrepresented himself to Trump as Ukraine expert,0,0.0
Trump-Ukraine Whistleblower’s Legal Team Is Getting Death Threats: WSJ,-1,-0.7351
Joe Biden reportedly denied Communion at a South Carolina church because of his stance on abortion,-1,-0.4404
"After NCAA Votes to Lift Ban on Compensating Students Athletes, GOP Senator Calls for Taxing Their Scholarships",-1,-0.5574
What Is Behind Mayor Pete’s Corporate Pivot on Medicare?,0,0.0
Revenge porn is a tactic of abuse. Katie Hill’s case makes that clear.,-1,-0.7184
Mike Pence spews indefensible falsehoods,0,0.0
Grassley shoots down White House plan to install Cuccinelli atop DHS,0,0.0
White House national security official set to testify in impeachment inquiry stepping down soon,1,0.34
Sondland emerges as key target after Vindman testimony,0,0.0
How the OMB used its powers to delay Ukraine aid,-1,-0.3182
"Meghan McCain Derails ‘The View,’ Makes Right-Wing Attacks on Vindman About Her Dad",-1,-0.6369
Republican campaign ad allegedly attacks opponent for being bisexual,-1,-0.4404
Why Amy Klobuchar is moderate Democrats' only hope,1,0.4404
"Trump potentially using a government shutdown as a ""diversion away from impeachment"" is ""very worrisome,"" Schumer says",0,0.0
Trump ‘dead wrong’ about the change in murders in Chicago,-1,-0.6124
