Content,
Meanwhile in KL.. #singapore pic.twitter.com/h5vO4PVi0r,
Read this! The #healthcare workers battling the #coronavirus on the frontline are HUMANS too! They deserved our utmost respect & not ostracised by the society. #coronavirussingapore #Singapore #Thoughts pic.twitter.com/nM6I3qmQdq,
"#coronavirus Update: My Worldwide Case CountJust updated: New cases in #Japan, #Singapore & #EgyptMany new cases & deaths in #ChinaNote: #China is likely downplaying the numbers#WuhanCoronavirus  #CoronavirusOutbreak#COVID19   #WuhanPneumonia pic.twitter.com/qnS14B4vEI",
"#Singapore is the most infected country outside China and also has the highest population density. Updated 8:45 amTuesday, 11 February 2020 (SGT)#coronavirus #coronavirussingapore pic.twitter.com/12AVltkb1H",
"So this is the situation at NTUC FairPrice JEM this morning (8 Feb). The aftermath from last night. Due to the long queues at closing time, customers had to leave them aside#coronavirus #ncov #singapore pic.twitter.com/l22FayPib1",
Why are all the people so kiasu go and sweep all the supermarket.. legit this is happening in Singapore right now just because we raised our DORSCON level to orange.. like please calm down guys#Singapore #CoronavirusOutbreak pic.twitter.com/kjgBN5oBU6,
Why condoms also sold out in Singapore? 😂 #singapore pic.twitter.com/iu4ArC5oSX,
This is the correct way to dispose your used masks. Remember to wash your hands with soap afterwards too. #COVID2019 #Singapore #coronavirus #CoronavirusOutbreak pic.twitter.com/zJN0LkLz8n,
Some kind soul has been giving away masks and providing sanitizer in my block’s lift 😇 that’s the way singapore 👍 🇸🇬 #coronavirus #singapore pic.twitter.com/6JxSM22jRv,
Check out this “Polite” baggage system at Changi Airport!#Singapore pic.twitter.com/Yu2b0a85JZ,
#Singapore becomes 2nd most infected country outside of China. #coronavirus #coronavirussingapore pic.twitter.com/yQwpsj2JN4,
What the Orange alert level on DORSCON means #Singapore pic.twitter.com/BOFTKGlhxS,
So high the level of wayang#Singapore #PAP #Wayang pic.twitter.com/JWEiOCbTs2,
Welcome to #Singapore!😢😳😱#coronavirus #covid19 pic.twitter.com/7jz4Lv1o9r,
10 v 1 fight at Cuppage Plaza KTV! Rabak sia! #Singapore #Cuppage #KTV #Fight pic.twitter.com/htv0u5QSeP,
Living in SG means everyday commute is sightings #expatlife #Singapore pic.twitter.com/y2Cicb50Xn,
"If you'd like another example of the ridiculous lengths #Singapore goes to silence free speech - look no further than this warning to someone who wore an anti-death penalty t-shirt to a running event. Clearly, a government that is ashamed of its #deathpenalty record @chiarasan https://t.co/wV4KWStOBd",
"I hope twitter can do it’s thing and spread this. shortage since level orange. My team and I are helping out. As of booking, there’s about 40 slots available for willing hearts 12-4pm tomorrow. Please spread the word.#singapore #VirusCoronahttps://t.co/kzhXasBaeY",
At least sixteen #coronavirus cases linked to Grand Hyatt Hotel #Singapore #coronavirussingapore pic.twitter.com/Nf8vQ19ebn,
This the most amazing thing I've ever seen in an airport. #singapore pic.twitter.com/xi2jKUAUSZ,
This is so very sad & heartbreaking! Some of the brightest young talent of the country being abandoned. One feels for these children. I saw a video being shot by these children where they were seeing off their Indian colleagues. Many of them were crying. Prayers #WuhanVirus https://t.co/unuQN9jWh8,
China still concealing the truth of #WuhanVirus outbreak and refusing US virus experts to offer help. This shows China is censoring so secret about the virus and a nasty plan may be undergoing to harm everyone in the world. Caution on them. pic.twitter.com/WyrXXDmzqc,
"CORONAVIRUS: “All the crematoriums of Hubei are backed up & cannot take bodies.""  #coronavirus #CoronavirusOutbreak #WuhanVirus #WuhanCoronavius #COVID19 pic.twitter.com/xwkEZSAMVP",
"20,000 ducks & 30,000 geese that I know of have all starved 2 death across China because the widespread shut down, quarantine, travel bans and blockades due 2 spread of #coronavirus.  #WuhanVirus #WuhanCoronavirus #Wuhan #WuhanOutbreak #CoronaOutbreak pic.twitter.com/DMbo4rTAJA",
5 nowych przypadków #WuhanVirus w Japonii.5 new #WuhanVirus cases in Japan.To osoby powiązane z przypadkami zarażonych taksówkarzy w Tokio.https://t.co/XfjLQqN4Be,
