Content,author,published_date
Meanwhile in KL.. #singapore pic.twitter.com/h5vO4PVi0r,Tawfik Daud,"Sat, 08 Feb 2020 09:21:31 GMT"
Read this! The #healthcare workers battling the #coronavirus on the frontline are HUMANS too! They deserved our utmost respect & not ostracised by the society. #coronavirussingapore #Singapore #Thoughts pic.twitter.com/nM6I3qmQdq,Claude &nbsp;📝,"Sat, 08 Feb 2020 05:07:28 GMT"
"#coronavirus Update: My Worldwide Case CountJust updated: New cases in #Japan, #Singapore & #EgyptMany new cases & deaths in #ChinaNote: #China is likely downplaying the numbers#WuhanCoronavirus  #CoronavirusOutbreak#COVID19   #WuhanPneumonia pic.twitter.com/qnS14B4vEI",IndoPacific News,"Sat, 15 Feb 2020 03:03:27 GMT"
"#Singapore is the most infected country outside China and also has the highest population density. Updated 8:45 amTuesday, 11 February 2020 (SGT)#coronavirus #coronavirussingapore pic.twitter.com/12AVltkb1H",Learn from Data,"Tue, 11 Feb 2020 00:54:51 GMT"
"So this is the situation at NTUC FairPrice JEM this morning (8 Feb). The aftermath from last night. Due to the long queues at closing time, customers had to leave them aside#coronavirus #ncov #singapore pic.twitter.com/l22FayPib1",Amz⁷,"Sat, 08 Feb 2020 00:55:14 GMT"
Why are all the people so kiasu go and sweep all the supermarket.. legit this is happening in Singapore right now just because we raised our DORSCON level to orange.. like please calm down guys#Singapore #CoronavirusOutbreak pic.twitter.com/kjgBN5oBU6,Mei : NEVER BETTER,"Fri, 07 Feb 2020 17:53:00 GMT"
Why condoms also sold out in Singapore? 😂 #singapore pic.twitter.com/iu4ArC5oSX,Handoko Lie,"Sat, 08 Feb 2020 02:56:30 GMT"
This is the correct way to dispose your used masks. Remember to wash your hands with soap afterwards too. #COVID2019 #Singapore #coronavirus #CoronavirusOutbreak pic.twitter.com/zJN0LkLz8n,Evacomics,"Thu, 13 Feb 2020 00:29:00 GMT"
Some kind soul has been giving away masks and providing sanitizer in my block’s lift 😇 that’s the way singapore 👍 🇸🇬 #coronavirus #singapore pic.twitter.com/6JxSM22jRv,Nicole Alano,"Wed, 12 Feb 2020 12:42:09 GMT"
Check out this “Polite” baggage system at Changi Airport!#Singapore pic.twitter.com/Yu2b0a85JZ,Exit-Wound,"Sat, 08 Feb 2020 06:04:05 GMT"
#Singapore becomes 2nd most infected country outside of China. #coronavirus #coronavirussingapore pic.twitter.com/yQwpsj2JN4,Learn from Data,"Sat, 08 Feb 2020 05:03:36 GMT"
What the Orange alert level on DORSCON means #Singapore pic.twitter.com/BOFTKGlhxS,Rajiv Menon,"Fri, 07 Feb 2020 09:35:57 GMT"
So high the level of wayang#Singapore #PAP #Wayang pic.twitter.com/JWEiOCbTs2,All Singapore Stuff,"Thu, 13 Feb 2020 04:06:43 GMT"
Welcome to #Singapore!😢😳😱#coronavirus #covid19 pic.twitter.com/7jz4Lv1o9r,Markets,"Tue, 11 Feb 2020 15:59:56 GMT"
10 v 1 fight at Cuppage Plaza KTV! Rabak sia! #Singapore #Cuppage #KTV #Fight pic.twitter.com/htv0u5QSeP,All Singapore Stuff,"Fri, 14 Feb 2020 04:36:54 GMT"
Living in SG means everyday commute is sightings #expatlife #Singapore pic.twitter.com/y2Cicb50Xn,OKJ,"Wed, 12 Feb 2020 02:17:18 GMT"
"If you'd like another example of the ridiculous lengths #Singapore goes to silence free speech - look no further than this warning to someone who wore an anti-death penalty t-shirt to a running event. Clearly, a government that is ashamed of its #deathpenalty record @chiarasan https://t.co/wV4KWStOBd",Rachel Chhoa-Howard,"Tue, 11 Feb 2020 12:44:23 GMT"
"I hope twitter can do it’s thing and spread this. shortage since level orange. My team and I are helping out. As of booking, there’s about 40 slots available for willing hearts 12-4pm tomorrow. Please spread the word.#singapore #VirusCoronahttps://t.co/kzhXasBaeY",momcallsmelee &nbsp;🇲🇾,"Tue, 11 Feb 2020 07:48:00 GMT"
At least sixteen #coronavirus cases linked to Grand Hyatt Hotel #Singapore #coronavirussingapore pic.twitter.com/Nf8vQ19ebn,Learn from Data,"Tue, 11 Feb 2020 03:20:04 GMT"
This the most amazing thing I've ever seen in an airport. #singapore pic.twitter.com/xi2jKUAUSZ,Chad Ross,"Fri, 07 Feb 2020 13:55:28 GMT"
This is so very sad & heartbreaking! Some of the brightest young talent of the country being abandoned. One feels for these children. I saw a video being shot by these children where they were seeing off their Indian colleagues. Many of them were crying. Prayers #WuhanVirus https://t.co/unuQN9jWh8,venugopal &nbsp;🇮🇳,"Sat, 15 Feb 2020 03:19:51 GMT"
China still concealing the truth of #WuhanVirus outbreak and refusing US virus experts to offer help. This shows China is censoring so secret about the virus and a nasty plan may be undergoing to harm everyone in the world. Caution on them. pic.twitter.com/WyrXXDmzqc,Ron Sayaka ft.&nbsp;😷,"Sun, 16 Feb 2020 14:21:40 GMT"
"CORONAVIRUS: “All the crematoriums of Hubei are backed up & cannot take bodies.""  #coronavirus #CoronavirusOutbreak #WuhanVirus #WuhanCoronavius #COVID19 pic.twitter.com/xwkEZSAMVP",24/7 Crisis News LIVE &nbsp;☢,"Sat, 15 Feb 2020 00:51:09 GMT"
"20,000 ducks & 30,000 geese that I know of have all starved 2 death across China because the widespread shut down, quarantine, travel bans and blockades due 2 spread of #coronavirus.  #WuhanVirus #WuhanCoronavirus #Wuhan #WuhanOutbreak #CoronaOutbreak pic.twitter.com/DMbo4rTAJA",thebigappleagent,"Sun, 09 Feb 2020 18:37:32 GMT"
5 nowych przypadków #WuhanVirus w Japonii.5 new #WuhanVirus cases in Japan.To osoby powiązane z przypadkami zarażonych taksówkarzy w Tokio.https://t.co/XfjLQqN4Be,Mag,"Sun, 16 Feb 2020 11:20:16 GMT"
"Infekcja koronawirusem #WuhanVirus  potwierdzona w docelowej Malezji wśród pasażerów, którzy wysiedli ze statku wycieczkowego „Uester Dam”, który wpłynął do Kambodży, Ministerstwo Zdrowia Kambodży poinformowało stronę malezyjską późną nocą 15 lutego.https://t.co/dXijMJq6Nx",Mag,"Sun, 16 Feb 2020 11:29:50 GMT"
"70 nowych przypadków #WuhanVirus  w Japonii. Znaleziono je na statku wycieczkowym „Diamentowa księżniczka” przy Jokohamie, co łącznie podnosi statek do 355.https://t.co/hnzDfbb8dRhttps://t.co/Q25njqvWMN",Mag,"Sun, 16 Feb 2020 11:13:28 GMT"
"1 nowy przypadek #WuhanVirus w Japonii. Według prefektury Aichi potwierdzono, że mężczyzna po 60-siątce został zainfekowany nowym koronawirusem. Mężczyzna to mąż kobiety po sześćdziesiątce, która wyjechała na Hawaje, która już została zarażona.https://t.co/PgaJnqluK2",Mag,"Sun, 16 Feb 2020 11:34:08 GMT"
"Południowa Korea zgłasza 1 nowy przypadek #WuhanVirus , w sumie 29 przypadek w tym kraju.To 82-letni mężczyzna z Korei Południowej, który nie miał żadnych danych dotyczących podróży zagranicznych.https://t.co/I1uFjreggahttps://t.co/N1HcpsA5sW",Mag,"Sun, 16 Feb 2020 11:16:17 GMT"
Wszystkie drogi dojazdowe do Wuhan zostały zniszczone i zamknięte.All access roads to Wuhan were destroyed and closed. #China #Chiny #Китай #coronarvirus #koronawirus #ChinaVirus #WuhanVirus pic.twitter.com/hko8dcHQjN,"Piotr, konto nr 4 - SBB (Search, Break, Build).","Mon, 10 Feb 2020 18:25:23 GMT"
"Łapanka policji na kwarantannę? Ludzie bronią się tak, jakby mieli iść na pewną śmierć. (source:@ brother_chui)#WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019 pic.twitter.com/T3m1sVNWP9",Marcin Ka,"Sun, 09 Feb 2020 09:59:49 GMT"
